hexID,slope_IC,NO,NumSpecies,LAT,LON,country,GDP,BC20,AC,AS,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,BC10,BC11,BC12,BC13,BC14,BC15,BC16,BC17,BC18,BC19,dx,dxx,dy,dyy,EL,BC21,HF,PC,RO,SL,TC,TP,TR,BD,CL,OC,pH,EC,CN,N2,BM,geometry
10402,0,0,0,65.65022523,-38.39887388,Greenland,49856.71957,20452,-0.999548852,-0.00292094,-29,36,194,5414,71,-114,185,-89,48,48,-93,803,94,33,28,270,115,115,262,-0.000896704,-3.29E-05,-0.071803406,-2.53E-05,187.875,481,0,-2.53E-05,34.25,4.122736454,-3.26E-05,-0.625,12.609375,1.3,15,26.43,6.4,2,13,1.71,9,-38.39887388|65.65022523
10300,0,0,0,82.43509799,-39.78040278,Greenland,49856.71957,8887,-0.999516845,-0.03099142,-225,41,95,14148,14,-415,428,-21,-381,-11,-381,184,33,5,67,98,16,87,16,-0.03673669,3.65E-08,-0.155810073,2.54E-05,717.4375,211,0,2.72E-05,74.75,8.903436661,-2.71E-06,0.515625,27.46875,,,,,,,,9,-39.78040278|82.43509799
10511,0,0,0,65.602574,-37.020283,Greenland,49856.71957,23968,-0.999432087,0.018365666,-17,32,188,5065,74,-97,171,-73,53,56,-77,713,84,35,25,236,106,135,228,0.002927557,1.35E-05,-0.072510153,-1.85E-05,121.3125,405,,-1.58E-05,34.6875,4.163546562,1.09E-05,-0.328125,12.734375,1.3,15,26.43,6.4,2,13,1.71,9,-37.020283|65.602574
9369,0,0,0,71.3976804,-52.49998854,Greenland,49856.71957,6981,-0.999359429,0.035381459,-77,45,156,8752,89,-203,292,-123,-130,55,-176,176,23,7,39,65,21,62,23,0.016738441,2.46E-05,-0.150801018,2.91E-05,432.3125,391,0,2.92E-05,72.75,8.615546227,2.32E-05,0.640625,26.59375,1.3,15,26.43,6.4,2,13,1.71,9,-52.49998854|71.3976804
8499,0,0,0,76.59099189,-64.49998854,Greenland,49856.71957,10107,-0.999046206,-0.033333208,-150,31,106,9588,10,-287,297,-13,-263,-11,-265,292,52,11,53,143,34,97,37,-0.004922047,7.15E-06,-0.034263983,1.54E-06,1127.5,192,0,2.14E-06,16.5,1.973350167,6.55E-06,0.0390625,6.0390625,1.3,15,26.43,6.4,2,13,1.71,,-64.49998854|76.59099189
9801,0,0,0,61.00818728,-46.49998854,Greenland,49856.71957,,-0.999046028,-0.041084938,-9,39,193,5838,93,-108,202,48,-34,69,-83,891,101,53,22,293,163,275,180,-0.004158967,-9.84E-06,-0.051220868,-5.45E-05,95.375,,4,-5.42E-05,24.6875,2.942296028,-9.94E-06,-1.1484375,9.0390625,,,,,,,,,-46.49998854|61.00818728
19289,0,0,0,73.99455007,84.00001146,Russia,12285.6585,,-0.998979926,0.001349448,-112,39,111,11655,71,-285,356,49,-101,49,-257,255,35,11,33,97,35,97,61,0.000731184,4.56E-05,-0.030978901,-1.27E-05,8.5,,0,-2.43E-05,15.5,1.78276515,5.71E-05,-0.1875,5.53125,1.37,25,24.9,6.5,1,11,2.41,,84.00001146|73.99455007
15367,0,0,0,78.89056,29.44777533,Norway,88001.95656,1.00E+05,-0.998977482,-0.016680593,-83,25,118,7310,20,-196,216,4,-86,14,-172,338,41,16,27,120,51,105,76,-0.009410671,0.000341899,-0.216498509,0.000102806,128.3125,31,0,0.000103756,103.4375,12.16901016,0.000329389,2.34375,38.546875,,,,,,,,9,29.44777533|78.89056
2882,0,0,0,67.50189313,-141.7499885,United States,59704.09773,3386,-0.998767257,-0.03875979,-65,69,152,14337,184,-273,457,119,-113,138,-240,222,49,6,76,138,18,112,27,-0.005091927,3.16E-05,-0.051645815,-1.62E-05,418.8125,584,0,-1.58E-05,24.9375,2.97070837,3.12E-05,-0.234375,9.109375,1.23,27,22.74,5,1,11,2.02,9,-141.7499885|67.50189313
11714,0,0,0,74.76640404,-20.40859008,Greenland,49856.71957,10362,-0.998720407,0.045153588,-109,37,124,9915,57,-245,302,-212,-6,34,-219,185,24,7,33,66,22,43,58,0.004216351,-2.78E-06,-0.024290865,3.27E-06,255.4375,304,,4.97E-06,11.8125,1.39952147,-4.48E-06,0.0625,4.296875,,,,,,,,9,-20.40859008|74.76640404
11167,0,0,0,70.43695483,-27.89251885,Greenland,49856.71957,13308,-0.998707891,0.048715297,-97,47,167,8335,67,-213,280,23,-73,32,-188,236,31,12,26,81,38,54,63,0.03360337,-4.29E-05,-0.242577359,0.000150201,304.125,394,,0.000132562,117.875,13.67869473,-3.45E-05,2.9453125,42.9296875,,,,,,,,9,-27.89251885|70.43695483
11608,0,0,0,82.598048,-23.689675,Greenland,49856.71957,7902,-0.998644292,-0.011557698,-180,26,72,12542,23,-342,365,1,-320,7,-320,137,17,7,29,50,23,42,23,-0.001824358,-0.000127462,-0.014808565,-1.14E-05,235.5625,207,0,-4.15E-05,7.25,0.853725791,-9.73E-05,-0.2734375,2.6171875,,,,,,,,9,-23.689675|82.598048
11764,0,0,0,63.60574824,-19.49998854,Iceland,59584.16094,34001,-0.998378158,0.03768938,-6,31,225,3772,68,-69,137,5,27,52,-48,2209,234,140,15,656,434,524,600,0.010807183,-8.77E-06,-0.126658291,5.21E-06,945.3125,531,0.251588315,5.29E-07,61.5625,7.252514839,-4.11E-06,0.0703125,22.3984375,1.3,15,26.43,6.4,2,13,1.71,9,-19.49998854|63.60574824
20817,0,0,0,78.613111,104.5765558,Russia,12285.6585,13437,-0.998347223,0.028214397,-160,27,85,11003,0,-315,314,-13,-146,-13,-294,228,30,13,28,85,40,85,52,0.008842876,-1.97E-05,-0.063412465,1.19E-05,384.5,167,0,3.70E-06,31.375,3.651467562,-1.15E-05,0.2265625,11.2890625,,,,,,,,9,104.5765558|78.613111
8063,0,0,0,76.84104021,-70.3212432,Greenland,49856.71957,5338,-0.998239636,0.058048755,-124,29,91,10814,37,-284,321,22,-255,22,-261,140,24,6,47,69,20,69,24,0.019317511,6.31E-05,-0.075614415,9.63E-07,296.9375,282,0,7.81E-06,37.1875,4.351780891,5.60E-05,0.0859375,13.4453125,1.3,15,26.43,6.4,2,13,1.71,9,-70.3212432|76.84104021
20264,0,0,0,58.41054921,97.50001146,Russia,12285.6585,4939,-0.998223245,0.040270355,-10,77,154,14381,239,-262,501,170,-120,184,-217,369,54,13,43,156,39,134,62,0.008339947,2.67E-05,-0.105108507,-7.74E-07,186.125,738,10.54861164,5.48E-07,51.75,6.023621082,2.52E-05,0.1328125,18.6484375,,,,,,,,9,97.50001146|58.41054921
8390,0,0,0,76.59099189,-65.99998854,Greenland,49856.71957,8564,-0.998129189,-0.057049058,-149,33,108,10091,16,-294,311,-7,-267,-4,-272,210,37,8,51,102,26,69,30,-0.004632515,-2.27E-13,-0.018677231,-1.16E-06,978.1875,212,0,-9.52E-08,9.1875,1.076977849,-1.06E-06,-0.0234375,3.3203125,1.3,15,26.43,6.4,2,13,1.71,,-65.99998854|76.59099189
7357,0,0,0,82.829597,-79.715611,Canada,48579.06446,,-0.998111844,-0.041108035,-185,30,74,13761,38,-363,400,14,-166,20,-339,131,24,5,60,70,16,60,17,-0.023937337,0.000358411,-0.084854551,-0.000120273,31.8125,,0,-0.00010905,41.625,4.878136635,0.000344841,-2.328125,15.046875,,,,,,,,9,-79.715611|82.829597
8337,0,0,0,80.452166,-66.530398,Greenland,49856.71957,4251,-0.997957528,-0.062435102,-164,31,86,12244,33,-325,358,10,-137,16,-303,67,10,3,44,30,10,25,12,-0.020246947,-4.20E-05,-0.054136138,-1.73E-05,341.5625,305,0,-1.88E-05,26.75,3.120042801,-4.03E-05,-0.375,9.640625,,,,,,,,9,-66.530398|80.452166
8336,0,0,0,77.88896737,-66.74998854,Greenland,49856.71957,9816,-0.997792244,0.065794088,-180,38,109,11426,17,-334,350,-15,-305,-7,-311,111,21,4,58,60,12,45,13,0.009761768,2.18E-05,-0.031069661,9.63E-07,1112.0625,175,0,3.35E-06,15.4375,1.79193294,1.94E-05,0.0390625,5.5390625,1.3,15,26.43,6.4,2,13,1.71,,-66.74998854|77.88896737
11499,0,0,0,82.52593866,-23.19170878,Greenland,49856.71957,7683,-0.99778229,0.051077764,-174,25,71,12365,27,-332,359,5,-311,12,-311,145,17,7,28,51,25,45,25,0.005939458,-1.13E-05,-0.015413043,-5.97E-06,152.125,216,0,-1.41E-05,7.5,0.889376163,-3.18E-06,-0.125,2.734375,,,,,,,,9,-23.19170878|82.52593866
9312,0,0,0,65.45345306,-52.91289264,Greenland,49856.71957,13967,-0.997731686,0.039888293,-19,38,157,6978,108,-136,244,50,-6,79,-109,646,85,34,32,250,106,230,109,0.001617331,-6.70E-06,-0.023542723,-5.44E-05,7.375,411,,-5.32E-05,11.25,1.354531407,-7.86E-06,-1.125,4.140625,,,,,,,,,-52.91289264|65.45345306
17815,0,0,0,67.50189313,63.75001146,Russia,12285.6585,12040,-0.997672021,0.01545685,-60,60,144,11969,172,-246,418,107,-116,112,-216,536,61,27,22,178,89,162,117,0.001053289,-1.58E-05,-0.024814202,-1.62E-05,178.6875,460,23.39992332,-1.83E-05,12.75,1.429760575,-1.37E-05,-0.375,4.4375,1.35,25,12.38,5,0,12,1.05,9,63.75001146|67.50189313
11117,0,0,0,81.78098627,-28.49998854,Greenland,49856.71957,11211,-0.997642517,0.06743177,-253,44,95,15212,1,-458,459,-34,-220,-25,-423,106,14,4,35,40,16,36,17,0.023950908,0.000112887,-0.050774198,1.85E-05,980.8125,231,0,3.19E-05,25.1875,2.927828074,9.91E-05,0.421875,9.0625,,,,,,,,9,-28.49998854|81.78098627
7730,0,0,0,61.00818728,-74.99998854,Canada,48579.06446,10969,-0.996907651,-0.038044155,-90,64,141,13218,143,-314,456,44,-279,86,-279,404,63,12,53,185,37,183,37,-0.002148808,-3.20E-05,-0.02655274,1.57E-05,351.6875,392,0,1.44E-05,13.8125,1.529817462,-3.07E-05,0.1640625,4.8359375,,,,,,,,9,-74.99998854|61.00818728
8554,0,0,0,77.88896737,-63.74998854,Greenland,49856.71957,25421,-0.996624649,-0.045914881,-196,38,119,9992,-15,-331,316,-50,-308,-41,-308,149,29,5,64,83,15,63,15,-0.001600329,-2.62E-05,-0.007591074,1.16E-06,1662.8125,71,0,-9.47E-06,3.625,0.438397139,-1.56E-05,0,1.34375,1.3,15,26.43,6.4,2,13,1.71,,-63.74998854|77.88896737
8445,0,0,0,77.88896737,-65.24998854,Greenland,49856.71957,14265,-0.996545851,-0.083044708,-183,38,113,10652,6,-327,332,-28,-304,-20,-304,131,25,4,62,72,13,55,13,-0.010241756,0,-0.025796216,0,1312,122,0,0,13,1.489799261,0,0,4.625,1.3,15,26.43,6.4,2,13,1.71,,-65.24998854|77.88896737
14659,0,0,0,80.48409451,20.25001146,Norway,88001.95656,,-0.996348083,-0.070486888,-76,26,119,7015,31,-185,216,-44,-79,21,-161,326,34,16,22,100,51,86,77,-0.013003964,-1.41E-05,-0.045605909,-0.000115875,9.1875,,0,-0.000133737,23.0625,2.625371695,4.25E-06,-2.359375,8.125,,,,,,,,,20.25001146|80.48409451
5645,0.998284182,3845,42,24.63795922,-103.4999885,Mexico,10344.97195,1938,-0.996345639,0.056108296,193,124,479,3988,313,54,259,230,170,245,131,364,81,3,90,241,11,104,42,0.001926044,-4.68E-07,-0.031620283,7.82E-07,1830.625,2151,6.365728378,1.44E-06,16,1.811923146,-1.13E-06,0.0078125,5.6328125,,,,,,,,6,-103.4999885|24.63795922
6756,0,0,0,79.18670114,-88.49998854,Canada,48579.06446,18581,-0.996088266,0.076711737,-233,37,80,15595,21,-439,460,-15,-414,-5,-414,84,20,2,90,58,6,45,6,0.036330584,-7.10E-05,-0.082856223,5.06E-05,1032.4375,91,0,7.81E-05,41.8125,4.778626919,-9.86E-05,0.9765625,14.8359375,,,,,,,,9,-88.49998854|79.18670114
7968,0,0,0,-28.62215574,-71.24998854,Chile,14684.84739,286,-0.996048033,0.049941812,187,65,442,2681,257,110,147,150,223,223,150,33,11,0,118,26,0,0,26,0.011350784,1.86E-05,-0.158621967,0.000205549,251.125,1361,9.00398159,0.000197524,80.625,9.001520157,1.52E-05,4.3984375,28.2265625,,,,,,,,8,-71.24998854|-28.62215574
7793,0,0,0,83.07709381,-74.24998854,Canada,48579.06446,5044,-0.995900989,0.033499423,-170,25,68,12485,35,-331,366,11,-151,18,-310,139,21,7,44,63,22,52,23,0.060207315,-0.002199341,-0.149157047,-0.000192433,65,188,,-0.000864705,75.6875,8.541728973,-0.00146349,-4.5546875,26.7578125,,,,,,,,,-74.24998854|83.07709381
9476,0,0,0,66.20320965,-50.99998854,Greenland,49856.71957,11741,-0.995611846,-0.089392558,-75,58,185,8964,96,-219,314,6,-48,55,-186,315,38,13,31,111,45,101,61,-0.012571855,5.92E-06,-0.062314801,-7.89E-05,750.9375,442,0,-7.48E-05,31.3125,3.589556217,2.28E-06,-1.578125,11.140625,,,,,,,,9,-50.99998854|66.20320965
1737,0,0,0,66.20320965,-157.4999885,United States,59704.09773,5080,-0.995587945,0.004349513,-46,69,162,12928,178,-247,425,118,15,136,-210,407,101,11,80,282,35,191,63,0.00274691,0.000147896,-0.109395616,-1.99E-05,240.125,578,0,-2.71E-05,57.5,6.288516045,0.000154845,0.0859375,19.7421875,,,,,,,,9,-157.4999885|66.20320965
8226,0,0,0,76.09165281,-68.33578004,Greenland,49856.71957,4249,-0.995560288,-0.070333391,-122,29,92,10599,35,-282,317,20,-253,20,-259,140,25,5,52,71,17,71,20,-0.047061101,-0.000389412,-0.153219968,6.76E-05,202.625,338,0,9.23E-05,76.5,8.78705883,-0.000410821,0.9140625,27.3359375,,,,,,,,9,-68.33578004|76.09165281
20205,0,0,0,46.72055284,96.75001146,Mongolia,4078.593988,1246,-0.995236099,-0.073223956,1,115,235,12947,236,-252,488,161,-182,170,-182,133,34,1,97,94,4,87,4,-0.001520574,4.10E-07,-0.013999411,3.69E-06,1710.875,1010,3.251418829,3.62E-06,7.5625,0.806249201,4.74E-07,0.078125,2.59375,,,,,,,,6,96.75001146|46.72055284
1681,0,0,0,62.3069786,-158.2499885,United States,59704.09773,8170,-0.994967639,-0.0396161,-2,65,178,10832,190,-178,368,136,-35,147,-144,465,111,13,74,288,44,173,57,-0.002530057,-9.81E-06,-0.037382063,-7.92E-06,93.625,593,0.281050026,-8.08E-06,19.4375,2.156909227,-9.62E-06,-0.203125,6.765625,,,,,,,,9,-158.2499885|62.3069786
7136,0,0,0,75.29283844,-83.24998854,Canada,48579.06446,27446,-0.99452585,-0.075023457,-223,37,91,13518,-9,-417,408,-39,-395,-37,-395,214,45,4,70,128,14,98,14,-0.003042991,1.49E-05,-0.010918618,5.59E-06,1580.6875,103,0,2.40E-06,5.6875,0.631530046,1.81E-05,0.1328125,1.9765625,1.3,15,26.43,6.4,2,13,1.71,9,-83.24998854|75.29283844
3916,0,0,0,63.60574824,-127.4999885,Canada,48579.06446,7651,-0.994430602,0.020280275,-61,70,169,12516,159,-253,412,101,-210,110,-221,514,86,20,52,250,65,225,73,-0.00415817,4.38E-05,-0.240028352,-0.000444429,1195.5,683,0,-0.000396607,126.25,13.33470917,7.20E-05,-8.8125,43.46875,,,,,,,,9,-127.4999885|63.60574824
2716,1,7524,10,61.00818728,-143.9999885,United States,59704.09773,27434,-0.994068682,0.101161696,-7,52,194,7843,136,-134,270,68,-31,99,-104,1047,155,30,41,440,104,358,244,0.077632047,-7.54E-05,-0.373219103,-9.32E-05,762.3125,454,0,-5.96E-05,189.9375,20.6160202,-8.63E-05,-2.2421875,67.4140625,,,,,,,,5,-143.9999885|61.00818728
9259,0,0,0,69.26704891,-53.55216363,Greenland,49856.71957,11747,-0.993907213,0.105847403,-57,37,133,8034,82,-197,279,22,-121,52,-169,420,66,16,46,175,50,138,53,0.059500378,7.53E-05,-0.199513376,1.41E-05,327.8125,366,,-9.83E-06,102.5625,11.39193439,9.77E-05,0.4765625,35.9921875,,,,,,,,9,-53.55216363|69.26704891
7629,0,0,0,81.78098627,-76.49998854,Canada,48579.06446,11902,-0.993638813,0.094571054,-230,33,79,13912,9,-407,417,-23,-377,-16,-382,60,13,2,79,39,6,32,7,0.022775436,4.71E-05,-0.03374872,2.12E-06,942.25,123,0,2.42E-05,17.25,1.955082536,2.49E-05,0.0625,6.09375,1.3,15,26.43,6.4,2,13,1.71,9,-76.49998854|81.78098627
7901,0,0,0,80.48409451,-72.74998854,Canada,48579.06446,22334,-0.993439794,-0.043204866,-231,33,86,12917,-18,-397,380,-43,-374,-38,-374,53,11,2,70,32,6,24,6,-0.008128381,-0.00042274,-0.028008346,-2.31E-06,1439.8125,77,0,-0.00015522,14.5,1.62312603,-0.000269387,-0.28125,5.0625,1.3,15,26.43,6.4,2,13,1.71,9,-72.74998854|80.48409451
8281,0,0,0,76.59099189,-67.49998854,Greenland,49856.71957,4598,-0.993017912,-0.115831904,-126,38,111,11039,52,-286,338,28,-197,31,-260,123,23,5,53,64,15,44,18,-0.030545637,2.51E-05,-0.061843131,-3.10E-05,312.9375,313,0,-2.36E-05,32,3.57901454,1.77E-05,-0.6015625,11.1953125,1.3,15,26.43,6.4,2,13,1.71,,-67.49998854|76.59099189
7245,0,0,0,75.29283844,-81.74998854,Canada,48579.06446,27254,-0.992875576,0.112154931,-222,34,87,12967,-24,-410,385,-47,-388,-46,-388,218,44,5,65,125,17,95,17,0.011245258,2.09E-05,-0.025297597,1.35E-06,1671.5,102,0,6.65E-06,13.0625,1.466096401,1.56E-05,0.0546875,4.5703125,1.3,15,26.43,6.4,2,13,1.71,9,-81.74998854|75.29283844
5335,0,0,0,68.47597977,-107.9196887,Canada,48579.06446,4955,-0.992773592,-0.036789056,-126,51,114,14249,115,-333,448,74,-284,74,-304,128,26,4,68,74,13,74,14,-0.00027472,7.16E-06,-0.002655945,4.44E-06,55.75,270,0.000551398,7.29E-06,1.25,0.153802469,4.31E-06,0.109375,0.46875,,,,,,,,9,-107.9196887|68.47597977
3753,1,74,2,64.90449316,-129.7499885,Canada,48579.06446,5475,-0.992653251,-0.032156747,-54,70,165,12946,174,-247,421,114,-208,126,-215,378,66,16,57,197,50,179,53,-0.006969485,-3.64E-05,-0.086307295,0.000115074,848.625,639,0,0.000107933,45.625,4.977550507,-3.22E-05,2.1953125,15.8515625,,,,,,,,9,-129.7499885|64.90449316
2280,1,42926,10,61.07758138,-149.843594,United States,59704.09773,14307,-0.992632627,-0.084383726,38,55,192,8261,190,-95,285,117,75,150,-67,428,69,17,49,203,51,122,89,-0.000138973,0,-0.000673065,-5.80E-06,0,643,41.1590271,-6.23E-06,0.375,0.039000317,4.34E-07,-0.1171875,0.1171875,,,,,,,,,-149.843594|61.07758138
8717,0,0,0,76.59099189,-61.49998854,Greenland,49856.71957,13987,-0.99259001,0.117153615,-158,34,114,9581,12,-288,299,-18,-265,-12,-266,465,78,16,53,221,51,164,59,0.011002113,-5.72E-05,-0.021633338,1.54E-06,1314.5,162,0,-3.84E-06,11.25,1.254318595,-5.18E-05,-0.03125,3.921875,1.3,15,26.43,6.4,2,13,1.71,,-61.49998854|76.59099189
20104,0,0,0,67.50189313,95.25001146,Russia,12285.6585,10944,-0.992493331,0.089139782,-109,56,109,15961,166,-347,513,110,-313,110,-315,462,81,13,58,232,45,232,61,0.017734552,0.000121012,-0.099593043,9.88E-05,594.8125,422,2.050902605,9.37E-05,49.875,5.730583191,0.000123134,2.359375,17.84375,,,,,,,,9,95.25001146|67.50189313
7573,0,0,0,78.0590165,-77.3011165,Canada,48579.06446,10982,-0.992075741,-0.053460237,-155,24,75,11214,20,-305,325,3,-287,4,-287,190,35,8,54,101,25,76,25,-0.014442703,0.000103478,-0.058746111,-1.64E-05,595.0625,152,0,3.36E-05,30.625,3.402520657,5.33E-05,-0.2421875,10.6171875,1.3,15,26.43,6.4,2,13,1.71,9,-77.3011165|78.0590165
22884,1,4478,1,68.8005379,133.5000115,Russia,12285.6585,4285,-0.992065072,-0.099185951,-139,68,110,20114,181,-438,619,114,-179,127,-405,195,33,7,54,97,21,91,34,-0.020253783,-4.71E-05,-0.078196064,-9.53E-05,284.375,492,0.253125101,-0.000111908,40.25,4.519632339,-2.86E-05,-2.0546875,14.1171875,,,,,,,,9,133.5000115|68.8005379
11771,0,0,0,80.98203983,-19.48384443,Greenland,49856.71957,9966,-0.992013037,0.123172447,-184,32,83,13277,30,-359,389,6,-152,12,-332,115,14,4,33,42,18,35,23,0.025913801,-8.61E-05,-0.03616805,-6.79E-05,174.3125,292,0,-0.000101068,18.75,2.094453096,-5.25E-05,-1.421875,6.546875,1.3,15,26.43,6.4,2,13,1.71,9,-19.48384443|80.98203983
11335,0,0,0,81.830276,-26.586292,Greenland,49856.71957,9003,-0.991848528,0.126886755,-222,41,89,15502,33,-430,462,1,-190,9,-397,92,12,3,35,34,13,31,16,0.149073347,-0.000123872,-0.168071568,-9.83E-05,342,269,0,-0.000142663,87.9375,9.654836655,-6.67E-05,-2.046875,30.578125,,,,,,,,9,-26.586292|81.830276
8880,0,0,0,75.37268411,-58.60404959,Greenland,49856.71957,7521,-0.991790116,-0.102880135,-97,31,106,9485,55,-238,293,-2,-214,35,-214,394,61,13,53,183,41,174,41,-0.011966989,6.73E-09,-0.038164526,5.32E-05,263.625,297,0,3.19E-05,19.1875,2.205666304,2.12E-05,1.078125,6.890625,1.3,15,26.43,6.4,2,13,1.71,,-58.60404959|75.37268411
6754,0,0,0,73.30488635,-88.68848471,Canada,48579.06446,10618,-0.991756141,-0.093777142,-159,38,85,14619,70,-375,446,39,-350,39,-350,143,26,5,62,74,15,74,15,-0.091871269,-0.000191139,-0.248654053,0.00030215,192.5625,230,0,0.000261743,127.8125,13.85517693,-0.000141412,5.8046875,45.5859375,1.36,20,18.87,6.1,2,11,1.68,9,-88.68848471|73.30488635
13762,0,0,0,15.54482283,8.250011459,Niger,536.0501235,561,-0.991450965,-0.006205952,281,121,445,4331,405,134,271,298,224,334,207,185,80,0,177,230,0,25,0,3.50E-05,-1.46E-06,-0.012708524,4.51E-06,505.9375,3222,1,4.62E-06,7.0625,0.730309188,-1.57E-06,0.0625,2.375,1.42,26,6.61,8.3,16,9,0.8,3,8.250011459|15.54482283
